"FMTNAME","START","LABEL"
"msa5yr13X",16700,"Charleston-North Charleston, SC"
"msa5yr13X",16740,"Charlotte-Concord-Gastonia, NC-SC~"
"msa5yr13X",16820,"Charlottesville, VA~"
"msa5yr13X",16860,"Chattanooga, TN-GA"
"msa5yr13X",16980,"Chicago-Naperville-Elgin, IL-IN-WI"
"msa5yr13X",17020,"Chico, CA"
"msa5yr13X",17140,"Cincinnati, OH-KY-IN~"
"msa5yr13X",17300,"Clarksville, TN-KY~"
"msa5yr13X",17420,"Cleveland, TN"
"msa5yr13X",17460,"Cleveland-Elyria, OH"
"msa5yr13X",17660,"Coeur dAlene, ID"
"msa5yr13X",17780,"College Station-Bryan, TX"
"msa5yr13X",17820,"Colorado Springs, CO"
"msa5yr13X",17860,"Columbia, MO~"
"msa5yr13X",17900,"Columbia, SC"
"msa5yr13X",17980,"Columbus, GA-AL"
"msa5yr13X",18140,"Columbus, OH~"
"msa5yr13X",18580,"Corpus Christi, TX"
"msa5yr13X",18880,"Crestview-Fort Walton Beach-Destin, FL~"
"msa5yr13X",19100,"Dallas-Fort Worth-Arlington, TX~"
"msa5yr13X",19300,"Daphne-Fairhope-Foley, AL"
"msa5yr13X",19340,"Davenport-Moline-Rock Island, IA-IL"
"msa5yr13X",19380,"Dayton, OH~"
"msa5yr13X",19460,"Decatur, AL"
"msa5yr13X",19500,"Decatur, IL"
"msa5yr13X",19660,"Deltona-Daytona Beach-Ormond Beach, FL~"
"msa5yr13X",19740,"Denver-Aurora-Lakewood, CO"
"msa5yr13X",19780,"Des Moines-West Des Moines, IA"
"msa5yr13X",19820,"Detroit-Warren-Dearborn, MI"
"msa5yr13X",20100,"Dover, DE"
"msa5yr13X",20260,"Duluth, MN-WI"
"msa5yr13X",20500,"Durham-Chapel Hill, NC"
"msa5yr13X",20700,"East Stroudsburg, PA"
"msa5yr13X",20740,"Eau Claire, WI"
"msa5yr13X",20940,"El Centro, CA"
"msa5yr13X",21140,"Elkhart-Goshen, IN"
"msa5yr13X",21340,"El Paso, TX~"
"msa5yr13X",21500,"Erie, PA"
"msa5yr13X",21660,"Eugene, OR"
"msa5yr13X",21780,"Evansville, IN-KY~"
"msa5yr13X",22020,"Fargo, ND-MN"
"msa5yr13X",22140,"Farmington, NM"
"msa5yr13X",22180,"Fayetteville, NC"
"msa5yr13X",22220,"Fayetteville-Springdale-Rogers, AR-MO"
"msa5yr13X",22420,"Flint, MI"
"msa5yr13X",22500,"Florence, SC"
"msa5yr13X",22520,"Florence-Muscle Shoals, AL"
"msa5yr13X",22660,"Fort Collins, CO"
"msa5yr13X",22900,"Fort Smith, AR-OK~"
"msa5yr13X",23060,"Fort Wayne, IN"
"msa5yr13X",23420,"Fresno, CA"
"msa5yr13X",23540,"Gainesville, FL"
"msa5yr13X",23580,"Gainesville, GA"
"msa5yr13X",24020,"Glens Falls, NY"
"msa5yr13X",24140,"Goldsboro, NC"
"msa5yr13X",24340,"Grand Rapids-Wyoming, MI~"
"msa5yr13X",24540,"Greeley, CO"
"msa5yr13X",24580,"Green Bay, WI"
"msa5yr13X",24660,"Greensboro-High Point, NC"
"msa5yr13X",24780,"Greenville, NC~"
"msa5yr13X",24860,"Greenville-Anderson-Mauldin, SC~"
"msa5yr13X",25060,"Gulfport-Biloxi-Pascagoula, MS~"
"msa5yr13X",25180,"Hagerstown-Martinsburg, MD-WV~"
"msa5yr13X",25260,"Hanford-Corcoran, CA"
"msa5yr13X",25420,"Harrisburg-Carlisle, PA"
"msa5yr13X",25500,"Harrisonburg, VA"
"msa5yr13X",25540,"Hartford-West Hartford-East Hartford, CT~"
"msa5yr13X",25860,"Hickory-Lenoir-Morganton, NC"
"msa5yr13X",25940,"Hilton Head Island-Bluffton-Beaufort, SC"
"msa5yr13X",26420,"Houston-The Woodlands-Sugar Land, TX~"
"msa5yr13X",26580,"Huntington-Ashland, WV-KY-OH~"
"msa5yr13X",26620,"Huntsville, AL"
"msa5yr13X",26820,"Idaho Falls, ID~"
"msa5yr13X",26900,"Indianapolis-Carmel-Anderson, IN~"
"msa5yr13X",26980,"Iowa City, IA"
"msa5yr13X",27100,"Jackson, MI"
"msa5yr13X",27140,"Jackson, MS~"
"msa5yr13X",27260,"Jacksonville, FL"
"msa5yr13X",27340,"Jacksonville, NC"
"msa5yr13X",27500,"Janesville-Beloit, WI"
"msa5yr13X",27740,"Johnson City, TN"
"msa5yr13X",27780,"Johnstown, PA"
"msa5yr13X",27900,"Joplin, MO"
"msa5yr13X",27980,"Kahului-Wailuku-Lahaina, HI~"
"msa5yr13X",28020,"Kalamazoo-Portage, MI"
"msa5yr13X",28100,"Kankakee, IL"
"msa5yr13X",28140,"Kansas City, MO-KS~"
"msa5yr13X",28420,"Kennewick-Richland, WA"
"msa5yr13X",28660,"Killeen-Temple, TX"
"msa5yr13X",28700,"Kingsport-Bristol-Bristol, TN-VA~"
"msa5yr13X",28740,"Kingston, NY"
"msa5yr13X",28940,"Knoxville, TN~"
"msa5yr13X",29100,"La Crosse-Onalaska, WI-MN"
"msa5yr13X",29180,"Lafayette, LA~"
"msa5yr13X",29200,"Lafayette-West Lafayette, IN"
"msa5yr13X",29340,"Lake Charles, LA"
"msa5yr13X",29420,"Lake Havasu City-Kingman, AZ"
"msa5yr13X",29460,"Lakeland-Winter Haven, FL"
